006c 0155 0062 0155 0073	006c,0155,002d 002d,006c,0155 0062,0155,002d 002d,0062,0155 002d,0155,0073	labas
006c 007c 0069 0065 0074 0075 0076 0155	006c,007c 0069,0065,002d 002d,0069,0065 0074,0075,002d 002d,0074,0075 0076,0155,002d 002d,0076,0155	lietuva
0155 010d 007c 0159	0155 002d,0155,010d 002d,010d,0159	ačiū
0111 0075 006f	0111,0075,002d 0075,006f,002d 002d,0075,006f	šuo
0163 0155 0073 007c 0069 0073	0163,0155,002d 002d,0163,0155 002d,0155,0073 002d,0073,0069 002d,0069,0073	žąsis
0070 007c 0107 006e 007c 006b 007c 0069	0070 002d,0070,0107 002d,0107,006e 006b 002d,006b,0069	penki
0155 0163 0075 006f 006c 0155 0073	0155 0163,0075,002d 0075,006f,002d 002d,0075,006f 006c,0155,002d 002d,006c,0155 002d,0155,0073	ąžuolas
006d 00f3 0074 007c 0069 006e 0155	006d,00f3,002d 002d,006d,00f3 002d,00f3,0074 002d,0074,0069 006e,0155,002d 002d,006e,0155	motina
0073 0075 0064 007c 0069 0065	0073,0075,002d 002d,0073,0075 002d,0075,0064 0069,0065,002d 002d,0069,0065	sudie
0067 007c 0069 006e 0074 0155 0072 0155 0073	0067 002d,0067,0069 002d,0069,006e 0074,0155,002d 002d,0074,0155 0072,0155,002d 002d,0072,0155 002d,0155,0073	gintaras
006b 00f3 006d 007c 0070 007c 0075 0074 007c 0107 0072 007c 0069 0073	006b,00f3,002d 002d,006b,00f3 002d,00f3,006d 0070 002d,0070,0075 002d,0075,0074 002d,0074,0107 002d,0107,0072 002d,0072,0069 002d,0069,0073	kompiuteris
006e 0155 006d 0155 0073	006e,0155,002d 002d,006e,0155 006d,0155,002d 002d,006d,0155 002d,0155,0073	namas
0076 0155 006e 0064 0075 006f	0076,0155,002d 002d,0076,0155 002d,0155,006e 0064,0075,002d 0075,006f,002d 002d,0075,006f	vanduo
0073 0061 0075 006c 007c 00eb	0073,0061,002d 0061,0075 006c,007c 002d,006c,00eb	saulė
006d 007c 00eb 006e 0075 006c 007c 0069 0073	006d 002d,006d,00eb 006e,0075,002d 002d,006e,0075 006c,007c 002d,006c,0069 002d,0069,0073	mėnulis
0163 006d 00f3 0067 0075 0073	0163 006d,00f3,002d 002d,006d,00f3 0067,0075,002d 002d,0067,0075 002d,0075,0073	žmogus
0076 0061 0069 006b 0155 0073	0076,0061,002d 0061,0069,002d 002d,0061,0069 006b,0155,002d 002d,006b,0155 002d,0155,0073	vaikas
006d 00f3 006b 007c 00e1 006b 006c 0155	006d,00f3,002d 002d,006d,00f3 002d,00f3,006b 002d,006b,00e1 002d,00e1,006b 006c,0155,002d 002d,006c,0155	mokykla
006b 007c 006e 007c 00e1 0067 0155	006b 006e 002d,006e,00e1 0067,0155,002d 002d,0067,0155	knyga
0064 0072 0061 0075 0067 0155 0073	0064 0072,0061,002d 0061,0075 0067,0155,002d 002d,0067,0155 002d,0155,0073	draugas
006d 007c 0065 0069 006c 007c 00eb	006d 0065,0069,002d 002d,0065,0069 006c,007c 002d,006c,00eb	meilė
006c 0061 0069 0073 007c 0076 007c 00eb	006c,0061,002d 0061,0069,002d 002d,0061,0069 002d,0069,0073 0076 002d,0076,00eb	laisvė
0074 007c 00eb 0076 007c 00e1 006e 007c 00eb	0074 002d,0074,00eb 002d,00eb,0076 002d,0076,00e1 002d,00e1,006e 002d,006e,00eb	tėvynė
006b 0155 006c 0062 0155	006b,0155,002d 002d,006b,0155 002d,0155,006c 0062,0155,002d 002d,0062,0155	kalba
