# offset	phoneme  (grapheme->phoneme output string table @0xd2e3c, 3-byte stride)
0xd2e3c	i
0xd2e40	e
0xd2e44	a
0xd2e48	o
0xd2e4c	u
0xd2e50	I
0xd2e54	E
0xd2e58	A
0xd2e5c	U
0xd2e60	ii
0xd2e64	Ii
0xd2e68	iI
0xd2e6c	ie
0xd2e70	Ie
0xd2e74	iE
0xd2e78	ee
0xd2e7c	Ee
0xd2e80	eE
0xd2e84	ea
0xd2e88	Ea
0xd2e8c	eA
0xd2e90	aa
0xd2e94	Aa
0xd2e98	aA
0xd2e9c	oo
0xd2ea0	Oo
0xd2ea4	oO
0xd2ea8	uo
0xd2eac	Uo
0xd2eb0	uO
0xd2eb4	uu
0xd2eb8	Uu
0xd2ebc	uU
0xd2ec0	p
0xd2ec4	p'
0xd2ec8	b
0xd2ecc	b'
0xd2ed0	t
0xd2ed4	t'
0xd2ed8	d
0xd2edc	d'
0xd2ee0	k
0xd2ee4	k'
0xd2ee8	g
0xd2eec	g'
0xd2ef0	ts
0xd2ef4	ts'
0xd2ef8	dz
0xd2efc	dz'
0xd2f00	tS
0xd2f04	tS'
0xd2f08	dZ
0xd2f0c	dZ'
0xd2f10	s
0xd2f14	s'
0xd2f18	z
0xd2f1c	z'
0xd2f20	S
0xd2f24	S'
0xd2f28	Z
0xd2f2c	Z'
0xd2f30	x
0xd2f34	x'
0xd2f38	h
0xd2f3c	h'
0xd2f40	f
0xd2f44	f'
0xd2f48	j'
0xd2f4c	j
0xd2f50	J
0xd2f54	v
0xd2f58	v'
0xd2f5c	w
0xd2f60	W
0xd2f64	l
0xd2f68	l'
0xd2f6c	L
0xd2f70	L'
0xd2f74	r
0xd2f78	r'
0xd2f7c	R
0xd2f80	R'
0xd2f84	m
0xd2f88	m'
0xd2f8c	M
0xd2f90	M'
0xd2f94	n
0xd2f98	n'
0xd2f9c	N
0xd2fa0	N'
